step,equity
0,1000
1,1000
2,1000
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
26,1000
27,1000
28,1000
29,1000
30,1000
31,1000
32,1000
33,1000
34,1000
35,1000
36,1000
37,1000
38,972.1792398083258136895594655
39,972.6812408114747894389329645
40,971.0059105674627918655026170
41,970.0058054611051307421750872
42,967.8900011780447318379325308
43,967.5110517894108228801529479
44,971.1502579419298472530565374
45,971.5802127775435865102906018
46,974.9504897640262784394096027
47,973.5837480752609818208186691
48,973.5837480752609818208186691
49,973.5837480752609818208186691
50,973.5837480752609818208186691
51,973.5837480752609818208186691
52,973.5837480752609818208186691
53,973.5837480752609818208186691
54,973.5837480752609818208186691
55,973.5837480752609818208186691
56,973.5837480752609818208186691
57,973.5837480752609818208186691
58,973.5837480752609818208186691
59,973.5837480752609818208186691
60,973.5837480752609818208186691
61,973.5837480752609818208186691
62,973.5837480752609818208186691
63,935.7266003408876163183231005
64,934.3819415970228602881163676
65,935.0575584772642973870498005
66,936.8160937533882605443719607
67,937.6108293138324177982590740
68,936.6424434117334934310498600
69,937.4119252704929143308370451
70,935.1237884649953102468439609
71,933.3329097167791933115205397
72,933.7461438163114490695280668
73,931.0529953835897035081458204
74,934.9658633997278771549657633
75,933.2592765299233338953360080
76,933.9968512811526168727426629
77,931.7831223249809843716544617
78,932.2638106430219414210595507
79,931.3825311963979338922962838
80,931.9512061982525509859698076
81,932.3123604308724528686295070
82,932.4451581914757570193460961
83,932.7370587786313123211404903
84,930.7734712568297603698904643
85,928.6361428259342332553782536
86,930.0720014427810419353356267
87,928.2890245594201598285426011
88,927.8282273635866981578396081
89,929.0331944533651627624849632
90,927.9968736779616268657319094
91,927.3013558047514501986478505
92,925.3863101229147325554118215
93,925.0274768011042598930850630
94,926.9431281246487460174844712
95,928.4411511293193017343771688
96,929.1878658208855907311441306
97,928.8451265829962122596563523
98,929.6762004536189216783569574
99,931.8515385463742918391833459
100,931.8515385463742918391833459
101,931.8515385463742918391833459
102,931.8515385463742918391833459
103,931.8515385463742918391833459
104,931.8515385463742918391833459
105,931.8515385463742918391833459
106,931.8515385463742918391833459
107,931.8515385463742918391833459
108,931.8515385463742918391833459
109,931.8515385463742918391833459
110,931.8515385463742918391833459
111,931.8515385463742918391833459
112,931.8515385463742918391833459
113,931.8515385463742918391833459
114,931.8515385463742918391833459
115,931.8515385463742918391833459
116,875.9052739985137720513572184
117,875.9517536926805706661657276
118,876.6885777675702734865480161
119,876.2265366828859134196516599
120,876.6239316696707860596580057
121,876.3562433525149870092655217
122,875.8395216652339127323814109
123,878.3416198830850625940140823
124,879.1279043966368064206730426
125,880.4794423326578885155568667
126,880.4794423326578885155568667
127,880.4794423326578885155568667
128,880.4794423326578885155568667
129,880.4794423326578885155568667
130,880.4794423326578885155568667
131,880.4794423326578885155568667
132,880.4794423326578885155568667
133,880.4794423326578885155568667
134,880.4794423326578885155568667
135,880.4794423326578885155568667
136,880.4794423326578885155568667
137,880.4794423326578885155568667
138,880.4794423326578885155568667
139,880.4794423326578885155568667
140,880.4794423326578885155568667
141,880.4794423326578885155568667
142,880.4794423326578885155568667
143,880.4794423326578885155568667
144,880.4794423326578885155568667
145,880.4794423326578885155568667
146,880.4794423326578885155568667
147,880.4794423326578885155568667
148,880.4794423326578885155568667
149,880.4794423326578885155568667
150,880.4794423326578885155568667
151,824.2771467429361850717204633
152,826.6691151877067373220006984
153,829.6442877777498370990167271
154,831.4262343688826890391951605
155,831.4262343688826890391951605
156,831.4262343688826890391951605
157,831.4262343688826890391951605
158,831.4262343688826890391951605
159,831.4262343688826890391951605
160,831.4262343688826890391951605
161,831.4262343688826890391951605
162,831.4262343688826890391951605
163,831.4262343688826890391951605
164,831.4262343688826890391951605
165,789.07523778552813143768915842
166,787.74843026458685295885741411
167,786.70921729691952817652801503
168,789.18918817503025573976076114
169,789.18037175842851717772495775
170,785.91147380055694257511550183
171,783.09030457429734214486678778
172,782.69624900198122793301755314
173,783.48530830766949335332773030
174,780.66001469822986535113448968
175,779.44874174900855161260728351
176,779.60889227495098651944174407
177,780.46032816839805237859174028
178,779.71379403961408219296118780
179,778.95606089862366245552374661
180,776.70454074738060598380024606
181,775.53720040445358791033942814
182,775.16609831382743772200890552
183,775.24628268125242662636030832
184,777.11368001043062328729883154
185,777.12683396129757205721016082
186,773.76828276031479568229589748
187,776.93508983829999240606580797
188,777.63224799896548397284438292
189,777.63224799896548397284438292
190,777.63224799896548397284438292
191,777.63224799896548397284438292
192,777.63224799896548397284438292
193,777.63224799896548397284438292
194,777.63224799896548397284438292
195,777.63224799896548397284438292
196,777.63224799896548397284438292
197,777.63224799896548397284438292
198,753.07842949050443138009497743
199,752.76243789456512554300215424
200,751.10977497896569826037479281
201,751.57335432669489263460235408
202,751.39984853007584362561154730
203,752.78677861859963452056717170
204,749.75561157091148129854103082
205,749.75567196290729924379636355
206,748.00915072007386156882884803
207,750.10702831723407378873076815
208,750.96576430721140754642438345
209,751.90650152678852587480111373
210,752.86861416224968517380530616
211,752.86861416224968517380530616
212,752.86861416224968517380530616
213,752.86861416224968517380530616
214,752.86861416224968517380530616
215,752.86861416224968517380530616
216,752.86861416224968517380530616
217,752.86861416224968517380530616
218,752.86861416224968517380530616
219,752.86861416224968517380530616
220,752.86861416224968517380530616
221,752.86861416224968517380530616
222,752.86861416224968517380530616
223,752.86861416224968517380530616
224,752.86861416224968517380530616
225,752.86861416224968517380530616
226,752.86861416224968517380530616
227,752.86861416224968517380530616
228,752.86861416224968517380530616
229,752.86861416224968517380530616
230,752.86861416224968517380530616
231,752.86861416224968517380530616
232,752.86861416224968517380530616
233,752.86861416224968517380530616
234,721.22748554153798455262047453
235,722.34654493911145807638893658
236,721.45871865405334403580435469
237,720.76878525464586562451243516
238,720.95269943508328217676824657
239,721.21245556159334221659447041
240,719.92309783774619709364514035
241,719.24997560208242208035262117
242,718.31636370817346655183648882
243,719.26670963806681696891084309
244,719.76190245683479163299462741
245,718.30992389085193014308645959
246,715.55097173765610135039326649
247,716.19298320614013393876244960
248,716.07404869547917108458163325
249,716.59605439546954217324381426
250,715.51840419070735910926730889
251,716.62308919429031262725978341
252,715.56049351012346097049511166
253,716.87340418189956285230903043
254,717.73877507041572849868288381
255,718.12751896043189146875916231
256,720.76017468127143099328988224
257,720.76017468127143099328988224
258,720.76017468127143099328988224
259,720.76017468127143099328988224
260,720.76017468127143099328988224
261,720.76017468127143099328988224
262,720.76017468127143099328988224
263,720.76017468127143099328988224
264,720.76017468127143099328988224
265,720.76017468127143099328988224
266,720.76017468127143099328988224
267,720.76017468127143099328988224
268,720.76017468127143099328988224
269,720.76017468127143099328988224
270,720.76017468127143099328988224
271,720.76017468127143099328988224
272,720.76017468127143099328988224
273,720.76017468127143099328988224
274,720.76017468127143099328988224
275,720.76017468127143099328988224
276,720.76017468127143099328988224
277,720.76017468127143099328988224
278,720.76017468127143099328988224
279,720.76017468127143099328988224
280,720.76017468127143099328988224
281,720.76017468127143099328988224
282,720.76017468127143099328988224
283,720.76017468127143099328988224
284,720.76017468127143099328988224
285,720.76017468127143099328988224
286,720.76017468127143099328988224
287,720.76017468127143099328988224
288,720.76017468127143099328988224
289,720.76017468127143099328988224
290,720.76017468127143099328988224
291,720.76017468127143099328988224
292,720.76017468127143099328988224
293,720.76017468127143099328988224
294,720.76017468127143099328988224
295,720.76017468127143099328988224
296,720.76017468127143099328988224
297,720.76017468127143099328988224
298,720.76017468127143099328988224
299,720.76017468127143099328988224
300,720.76017468127143099328988224
301,720.76017468127143099328988224
302,720.76017468127143099328988224
303,720.76017468127143099328988224
304,720.76017468127143099328988224
305,720.76017468127143099328988224
306,684.77689931574571328377114722
307,684.53392688612046576921366235
308,684.82769921205308555579248278
309,684.75922037021096476228930220
310,681.74992313345021560560468005
311,682.10372811057135653492755674
312,684.20368378558098556579387820
313,685.35152787586738484271045593
314,685.74103895063861718655125146
315,684.54995219477752567958698519
316,684.05082308645194556418203104
317,683.42949964122797472007167969
318,680.59906349764695025907868878
319,681.69268945093832271455828622
320,681.41843108095572438157720052
321,680.47314204934457995159657710
322,682.35240332216863292409559582
323,683.81768676187731439191099481
324,683.81768676187731439191099481
325,683.81768676187731439191099481
326,683.81768676187731439191099481
327,683.81768676187731439191099481
328,683.81768676187731439191099481
329,683.81768676187731439191099481
330,683.81768676187731439191099481
331,683.81768676187731439191099481
332,683.81768676187731439191099481
333,683.81768676187731439191099481
334,683.81768676187731439191099481
335,683.81768676187731439191099481
336,683.81768676187731439191099481
337,656.39133775787552907430173897
338,655.76487676614212887973239137
339,656.68156796055134404271764565
340,653.85564848650431098473018099
341,651.81589869141118562780024201
342,651.99767855310526503157824427
343,650.69748468865170480314704394
344,651.07785035919040790935592316
345,649.77812910236444333792362075
346,650.03211388438736385349567761
347,650.13825926752243380166072662
348,652.55056293397270834863974156
349,654.31037352429217627535133521
350,653.99697339995638684570621251
351,653.99697339995638684570621251
352,653.99697339995638684570621251
353,653.99697339995638684570621251
354,653.99697339995638684570621251
355,653.99697339995638684570621251
356,653.99697339995638684570621251
357,653.99697339995638684570621251
358,653.99697339995638684570621251
359,653.99697339995638684570621251
360,653.99697339995638684570621251
361,653.99697339995638684570621251
362,653.99697339995638684570621251
363,653.99697339995638684570621251
364,653.99697339995638684570621251
365,653.99697339995638684570621251
366,653.99697339995638684570621251
367,653.99697339995638684570621251
368,653.99697339995638684570621251
369,653.99697339995638684570621251
370,653.99697339995638684570621251
371,653.99697339995638684570621251
372,653.99697339995638684570621251
373,632.81174025767279673112434851
374,632.94894491800762649281928021
375,630.60607923315169433313779217
376,630.31710504419489868972746646
377,631.18065058600797155986843354
378,631.27125895766507036689930500
379,632.61358797409192366118208033
380,632.95023001336922586020150663
381,633.14833285523215796690307722
382,632.79421025919281162616493076
383,632.79421025919281162616493076
384,632.79421025919281162616493076
385,632.79421025919281162616493076
386,632.79421025919281162616493076
387,632.79421025919281162616493076
388,632.79421025919281162616493076
389,632.79421025919281162616493076
390,632.79421025919281162616493076
391,632.79421025919281162616493076
392,632.79421025919281162616493076
393,632.79421025919281162616493076
394,632.79421025919281162616493076
395,632.79421025919281162616493076
396,632.79421025919281162616493076
397,632.79421025919281162616493076
398,632.79421025919281162616493076
399,632.79421025919281162616493076
400,632.79421025919281162616493076
401,632.79421025919281162616493076
402,632.79421025919281162616493076
403,632.79421025919281162616493076
404,632.79421025919281162616493076
405,632.79421025919281162616493076
406,632.79421025919281162616493076
407,632.79421025919281162616493076
408,632.79421025919281162616493076
409,632.79421025919281162616493076
410,632.79421025919281162616493076
411,632.79421025919281162616493076
412,632.79421025919281162616493076
413,632.79421025919281162616493076
414,632.79421025919281162616493076
415,632.79421025919281162616493076
416,632.79421025919281162616493076
417,632.79421025919281162616493076
418,632.79421025919281162616493076
419,605.64778309883553358641791738
420,605.59749364693100837377899884
421,606.36628289204168017586483503
422,606.69106038612515427496201213
423,604.86327046121429770136723582
424,606.25068957587785893426891989
425,606.75858699254010872341964701
426,608.26371730795388943680458110
427,606.73255514772063924816150156
428,608.02171080435454077132820280
429,609.91201752699628925507865002
430,612.05762686341312735386584374
431,612.05762686341312735386584374
432,612.05762686341312735386584374
433,612.05762686341312735386584374
434,612.05762686341312735386584374
435,612.05762686341312735386584374
436,612.05762686341312735386584374
437,612.05762686341312735386584374
438,612.05762686341312735386584374
439,612.05762686341312735386584374
440,612.05762686341312735386584374
441,612.05762686341312735386584374
442,612.05762686341312735386584374
443,612.05762686341312735386584374
444,612.05762686341312735386584374
445,612.05762686341312735386584374
446,612.05762686341312735386584374
447,612.05762686341312735386584374
448,612.05762686341312735386584374
449,612.05762686341312735386584374
450,612.05762686341312735386584374
451,612.05762686341312735386584374
452,612.05762686341312735386584374
453,612.05762686341312735386584374
454,612.05762686341312735386584374
455,612.05762686341312735386584374
456,612.05762686341312735386584374
457,612.05762686341312735386584374
458,585.82437191329502127154053650
459,585.94065234141986047021355087
460,587.86334317197891992203181896
461,589.33857366988255207151152088
462,589.33857366988255207151152088
