step,equity
0,5000
1,5000
2,5000
3,5000
4,5000
5,5000
6,5000
7,5000
8,5000
9,5000
10,5000
11,5000
12,5000
13,5000
14,5000
15,5000
16,5000
17,5000
18,5000
19,5000
20,5028.8030597918963606629375370
21,5018.0486724086319872726239678
22,5031.8754671884889932689016389
23,5026.6213996224713340707246121
24,5034.7279763097510726139816186
25,5051.8789300658121228552787264
26,5052.8834720118137989662201136
27,5050.1778834276326993616764333
28,5043.2509125856913419887718400
29,5042.4977368037613881033948971
30,5042.4977368037613881033948971
31,5042.4977368037613881033948971
32,5033.9415583989502165465939882
33,5032.0491491691380320023483648
34,5036.4335911176988865534245493
35,5032.8347423418943049868059299
36,5035.5618158277680879864617806
37,5037.6293759914436820839582336
38,5023.7861346795296579702789637
39,5027.6412700849454174490133258
40,5021.6193890811724233834265485
41,5026.9668653946741740671878027
42,5023.9100849573026120364720199
43,5013.2652027031450078060752843
44,5025.1231419263812566105631972
45,5029.0437351965043113506947693
46,5016.9096779989016376365839665
47,5032.2157791524121659023062172
48,5044.4279592339444985575521420
49,5044.4279592339444985575521420
50,5044.4279592339444985575521420
51,5044.5612454322214888627498496
52,5037.1509304264742277843986673
53,5042.4535555362978594127812062
54,5031.0557623593796997428854859
55,5016.0731817307199809050194188
56,5011.0462647823605211336939013
57,5001.8103764539052784496735354
58,5004.3316100720450319539707324
59,5000.2123664487353830693040604
60,4988.0502706079448237706240187
61,4984.7482477289089147647975961
62,4982.0450718661909093808414466
63,4981.5220131473667557161657374
64,4981.1653621181400494960299323
65,4977.3917436113672453226743210
66,4968.5537439701931855416707600
67,4971.6054095592765731741590657
68,4960.2676344050176433166098078
69,4953.3018340852621066633312272
70,4951.0458318685649365889688514
71,4944.6400003376541747311666916
72,4948.2081291820114260067818799
73,4942.8642323869815472683728998
74,4941.5285447811360722016314794
75,4954.4280204892287311097234959
76,4957.3182346377989956099234557
77,4951.7360191168340965642801029
78,4951.4088153751490443056273144
79,4956.4410857753433954459320307
80,4963.3538623075133725538452896
81,4963.3538623075133725538452896
82,4963.3538623075133725538452896
83,4963.3538623075133725538452896
84,4963.3538623075133725538452896
85,4963.3538623075133725538452896
86,4963.3538623075133725538452896
